# Constructed from biom file
#OTU ID	10777.000066307.R1	10777.000066317.R1	10777.000066272.R1	10777.000066262.R1	10777.000066235.R1	10777.000066261.R1	10777.000066240.R1	10777.000066260.R1	10777.000066293.R1	10777.000066274.R1	10777.000066249.R1	10777.000066282.R1	10777.000066318.R1	10777.000066328.R1	10777.000066239.R1	10777.000066327.R1	10777.000066314.R1	10777.000066277.R1	10777.000066279.R1	10777.000066250.R1	10777.000066292.R1	10777.000066308.R1	10777.000066246.R1	10777.000066281.R1	10777.000066273.R1	10777.000066294.R1	10777.000066271.R1	10777.000066311.R1	10777.000066290.R1	10777.000066253.R1	10777.000066267.R1	10777.000066319.R1	10777.000066302.R1	10777.000066315.R1	10777.000066300.R1	10777.000066247.R1	10777.000066288.R1	10777.000066313.R1	10777.000066285.R1	10777.000066259.R1	10777.000066301.R1	10777.000066284.R1	10777.000066244.R1	10777.000066255.R1	10777.000066286.R1	10777.000066322.R1	10777.000066304.R1	10777.000066320.R1	10777.000066234.R1	10777.000066269.R1	10777.000066237.R1	10777.000066268.R1	10777.000066296.R1	10777.000066254.R1	10777.000066306.R1	10777.000066256.R1	10777.000066291.R1	10777.000066270.R1	10777.000066280.R1	10777.000066258.R1	10777.000066283.R1	10777.000066238.R1	10777.000066265.R1	10777.000066316.R1	10777.000066287.R1	10777.000066325.R1	10777.000066278.R1	10777.000066321.R1	10777.000066299.R1	10777.000066248.R1	10777.000066312.R1	10777.000066324.R1	10777.000066309.R1	10777.000066245.R1	10777.000066257.R1	10777.000066243.R1	10777.000066326.R1	10777.000066275.R1	10777.000066236.R1	10777.000066264.R1	10777.000066310.R1	10777.000066298.R1	10777.000066297.R1	10777.000066276.R1	10777.000066266.R1	10777.000066242.R1	10777.000066289.R1	10777.000066251.R1	10777.000066305.R1	10777.000066295.R1	10777.000066252.R1	10777.000066323.R1
aee0d6f2626271eacf89d2e803440657	645.0	27.0	145.0	103.0	354.0	608.0	144.0	795.0	614.0	600.0	460.0	305.0	392.0	617.0	608.0	912.0	321.0	437.0	1051.0	118.0	215.0	444.0	431.0	887.0	249.0	190.0	1050.0	834.0	137.0	686.0	250.0	52.0	361.0	795.0	521.0	355.0	39.0	1085.0	74.0	348.0	633.0	251.0	316.0	473.0	424.0	437.0	525.0	536.0	678.0	635.0	750.0	375.0	260.0	321.0	198.0	237.0	526.0	420.0	103.0	312.0	74.0	295.0	463.0	265.0	29.0	412.0	242.0	536.0	292.0	167.0	180.0	1003.0	598.0	404.0	377.0	288.0	578.0	285.0	597.0	585.0	408.0	360.0	603.0	426.0	127.0	218.0	367.0	727.0	284.0	501.0	377.0	630.0
ea298a4489230dca9c52845c38ac88d2	241.0	165.0	34.0	85.0	274.0	139.0	25.0	82.0	299.0	16.0	136.0	65.0	363.0	490.0	302.0	221.0	199.0	256.0	161.0	55.0	64.0	50.0	59.0	233.0	278.0	37.0	177.0	255.0	90.0	274.0	412.0	297.0	154.0	239.0	68.0	299.0	14.0	127.0	356.0	152.0	204.0	18.0	15.0	211.0	30.0	169.0	86.0	127.0	6.0	152.0	133.0	63.0	99.0	61.0	23.0	85.0	361.0	57.0	124.0	58.0	721.0	67.0	296.0	231.0	67.0	344.0	37.0	167.0	361.0	61.0	55.0	171.0	324.0	137.0	207.0	306.0	409.0	284.0	10.0	49.0	131.0	57.0	327.0	52.0	29.0	56.0	179.0	104.0	523.0	109.0	63.0	277.0
113ce005a880987438bdbe19ee22add8	137.0	0.0	41.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	64.0	8.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	79.0	3.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	3.0	76.0	0.0	25.0	29.0	0.0	0.0	2.0	0.0	2.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	39.0	10.0	0.0	2.0	3.0	0.0	0.0	81.0	0.0
b9d953d2c367d1b3150ccf062dacfe83	101.0	0.0	71.0	0.0	0.0	88.0	19.0	16.0	143.0	9.0	15.0	30.0	33.0	113.0	0.0	64.0	0.0	90.0	0.0	20.0	32.0	60.0	0.0	0.0	0.0	0.0	53.0	150.0	40.0	38.0	0.0	0.0	0.0	57.0	28.0	0.0	41.0	123.0	0.0	145.0	0.0	57.0	0.0	12.0	18.0	95.0	12.0	50.0	29.0	0.0	42.0	32.0	20.0	0.0	32.0	55.0	0.0	68.0	11.0	74.0	1.0	10.0	107.0	0.0	4.0	3.0	46.0	0.0	84.0	17.0	47.0	0.0	48.0	7.0	257.0	3.0	116.0	0.0	34.0	18.0	86.0	41.0	104.0	49.0	32.0	2.0	76.0	79.0	144.0	110.0	34.0	116.0
aefd4044e43af5915f9a3fac602e9308	106.0	24.0	350.0	416.0	116.0	211.0	281.0	305.0	156.0	296.0	598.0	190.0	64.0	12.0	316.0	286.0	520.0	277.0	67.0	270.0	320.0	297.0	146.0	447.0	136.0	456.0	71.0	31.0	439.0	470.0	158.0	140.0	582.0	192.0	364.0	124.0	243.0	194.0	41.0	384.0	262.0	113.0	108.0	465.0	243.0	594.0	307.0	800.0	269.0	353.0	557.0	191.0	438.0	479.0	219.0	272.0	333.0	332.0	436.0	364.0	250.0	286.0	269.0	32.0	4.0	127.0	313.0	253.0	299.0	383.0	312.0	192.0	289.0	644.0	199.0	243.0	237.0	379.0	229.0	179.0	488.0	188.0	142.0	310.0	340.0	191.0	684.0	450.0	111.0	420.0	474.0	98.0
145ebc1f8ab3b2896eb631008973c0b4	79.0	17.0	1.0	7.0	13.0	77.0	1.0	0.0	84.0	19.0	10.0	7.0	39.0	34.0	2.0	18.0	73.0	117.0	43.0	0.0	4.0	15.0	3.0	6.0	21.0	2.0	4.0	5.0	0.0	3.0	57.0	56.0	10.0	16.0	21.0	21.0	0.0	12.0	50.0	40.0	75.0	0.0	2.0	8.0	0.0	30.0	0.0	24.0	1.0	28.0	27.0	7.0	3.0	14.0	0.0	0.0	49.0	6.0	2.0	1.0	10.0	7.0	45.0	18.0	25.0	97.0	8.0	34.0	77.0	0.0	2.0	13.0	87.0	19.0	22.0	61.0	3.0	53.0	7.0	0.0	2.0	6.0	41.0	0.0	1.0	11.0	32.0	9.0	70.0	68.0	0.0	23.0
0444decea04265abf48bcb720b69520e	76.0	256.0	0.0	4.0	24.0	97.0	8.0	0.0	74.0	2.0	10.0	11.0	27.0	95.0	19.0	20.0	25.0	64.0	117.0	0.0	0.0	0.0	1.0	7.0	53.0	3.0	34.0	87.0	0.0	14.0	35.0	9.0	0.0	46.0	1.0	33.0	0.0	37.0	31.0	111.0	12.0	0.0	0.0	33.0	0.0	4.0	2.0	11.0	1.0	64.0	22.0	1.0	0.0	3.0	0.0	1.0	37.0	2.0	1.0	4.0	26.0	3.0	18.0	232.0	46.0	67.0	4.0	51.0	40.0	0.0	0.0	2.0	34.0	8.0	27.0	55.0	31.0	36.0	0.0	0.0	0.0	2.0	11.0	5.0	0.0	1.0	29.0	11.0	56.0	16.0	0.0	50.0
8919944cb4b67e5abb04cc8afad9045d	80.0	234.0	0.0	0.0	587.0	130.0	0.0	0.0	23.0	0.0	73.0	0.0	210.0	3.0	146.0	124.0	248.0	187.0	1.0	0.0	1.0	0.0	0.0	71.0	149.0	0.0	0.0	1.0	0.0	39.0	247.0	543.0	0.0	224.0	0.0	510.0	0.0	4.0	200.0	232.0	219.0	0.0	0.0	72.0	0.0	180.0	0.0	46.0	0.0	172.0	111.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0	87.0	0.0	193.0	1.0	783.0	278.0	0.0	350.0	253.0	0.0	0.0	149.0	109.0	106.0	246.0	103.0	168.0	220.0	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0	93.0	203.0	114.0	229.0	0.0	39.0
91d7d1256be7c1797cd45c2296095521	32.0	59.0	5.0	0.0	0.0	26.0	0.0	1.0	22.0	0.0	10.0	0.0	43.0	7.0	11.0	9.0	0.0	5.0	57.0	0.0	0.0	3.0	0.0	0.0	13.0	0.0	25.0	0.0	0.0	4.0	5.0	0.0	0.0	2.0	0.0	0.0	0.0	11.0	128.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	25.0	0.0	0.0	110.0	0.0	2.0	0.0	6.0	41.0	0.0	0.0	0.0	12.0	26.0	67.0	43.0	4.0	0.0	0.0	0.0	0.0	3.0	29.0	0.0	0.0	0.0	9.0	6.0	19.0	3.0	0.0	22.0
1815ce0e0a35e80700825eaf6333a0c3	26.0	132.0	0.0	0.0	2.0	0.0	0.0	22.0	0.0	39.0	0.0	0.0	31.0	0.0	0.0	12.0	1.0	0.0	17.0	0.0	0.0	26.0	29.0	12.0	79.0	0.0	0.0	1.0	1.0	0.0	23.0	0.0	0.0	0.0	32.0	15.0	0.0	34.0	19.0	0.0	14.0	35.0	136.0	0.0	41.0	0.0	54.0	0.0	51.0	0.0	0.0	68.0	0.0	0.0	12.0	0.0	4.0	0.0	0.0	18.0	46.0	0.0	43.0	42.0	34.0	15.0	0.0	0.0	13.0	0.0	0.0	4.0	0.0	18.0	0.0	35.0	24.0	7.0	68.0	19.0	0.0	100.0	1.0	20.0	34.0	3.0	0.0	0.0	23.0	0.0	0.0	5.0
